Accuracy,loss,,,,,,Accuracy,loss,,,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.617992163,0.00759675,,,,,,0.671875,0.007829267,,,,,,,0.515625,0.008504711,,,,,0.640625,0.008194435,,,
0.6875,0.005536172,,,,,,0.6484375,0.008570919,,,,,,,0.515625,0.009024929,,,,,0.59842521,0.008347457,,,
0.6953125,0.005890246,,,,,,0.640625,0.008367986,,,,,,,0.481675386,0.009555111,,,,,0.581151843,0.008636278,,,
0.649214685,0.006480366,,,,,,0.62109375,0.008706923,,,,,,,0.521568656,0.009137996,,,,,0.580392182,0.009022719,,,
0.670588255,0.006346406,,,,,,0.628125012,0.008791446,,,,,,,0.507836998,0.009551591,,,,,0.598746061,0.008712625,,,
0.639498413,0.006834406,,,,,,0.630208373,0.008674851,,,,,,,0.511749327,0.009336563,,,,,0.579634488,0.008851916,,,
0.637075722,0.006899371,,,,,,0.617449641,0.00898553,,,,,,,0.512304246,0.009233681,,,,,0.59507829,0.008600966,,,
0.63534677,0.006928735,,,,,,0.61448139,0.00882107,,,,,,,0.518590987,0.009014638,,,,,0.604696691,0.008552808,,,
0.626223087,0.006997983,,,,,,0.601739168,0.008910813,,,,,,,0.532173932,0.008928578,,,,,0.59478265,0.008527983,,,
0.620869577,0.007056422,,,,,,0.613458514,0.008843953,,,,,,,0.533646345,0.008930871,,,,,0.583724558,0.008652873,,,
0.624413133,0.006894873,,,,,,0.607396841,0.008785282,,,,,,,0.530583203,0.008980794,,,,,0.591749668,0.008523744,,,
0.628733993,0.006977687,,,,,,0.60365057,0.008840836,,,,,,,0.537157774,0.00893061,,,,,0.590612769,0.008572378,,,
0.632333755,0.006881267,,,,,,0.671875,0.00715127,,,,,,,0.578125,0.007902451,,,,,0.625,0.007613529,,,
0.703125,0.005218259,,,,,,0.6484375,0.008027235,,,,,,,0.5625,0.008520977,,,,,0.59842521,0.007698222,,,
0.71875,0.005343018,,,,,,0.651041687,0.007874579,,,,,,,0.523560226,0.009049374,,,,,0.575916231,0.007985389,,,
0.685863853,0.00580268,,,,,,0.625,0.008089811,,,,,,,0.549019635,0.008596151,,,,,0.580392182,0.00838482,,,
0.701960802,0.005690573,,,,,,0.628125012,0.008234098,,,,,,,0.536050141,0.008956604,,,,,0.598746061,0.00807561,,,
0.661441982,0.006177347,,,,,,0.6328125,0.008121814,,,,,,,0.548302889,0.008700983,,,,,0.579634488,0.008216865,,,
0.663185418,0.00621313,,,,,,0.619686782,0.008330709,,,,,,,0.541387022,0.008564004,,,,,0.597315431,0.007958474,,,
0.659955263,0.006274773,,,,,,0.618395329,0.008185555,,,,,,,0.549902141,0.008352574,,,,,0.61448139,0.007896192,,,
0.651663423,0.006336176,,,,,,0.606956542,0.008301438,,,,,,,0.563478291,0.008287734,,,,,0.608695686,0.007881935,,,
0.648695648,0.006374639,,,,,,0.618153334,0.008217665,,,,,,,0.561815321,0.008299506,,,,,0.602503896,0.00799564,,,
0.649452269,0.006247794,,,,,,0.611664295,0.008167535,,,,,,,0.557610214,0.008355045,,,,,0.611664295,0.007859247,,,
0.654338539,0.006311987,,,,,,0.607561946,0.008242732,,,,,,,0.559322,0.008286349,,,,,0.608865678,0.007926626,,,
0.659713149,0.006203101,,,,,,0.75,0.006472131,,,,,,,0.59375,0.007290427,,,,,0.671875,0.007073419,,,
0.734375,0.004890285,,,,,,0.6875,0.007214267,,,,,,,0.5703125,0.00795308,,,,,0.645669281,0.007054141,,,
0.734375,0.004844431,,,,,,0.666666687,0.00720014,,,,,,,0.528795838,0.008547622,,,,,0.612565458,0.007349016,,,
